life_expectancy,mean_years_schooling,expected_years_schooling,gni_per_capita,hdi_score,hdi_category
77.8,14.04,17.97,65474.79,0.9445,Very High
73.99,10.28,14.87,16403.4,0.7849,High
73.37,7.85,12.62,11901.95,0.7134,High
60.0,8.16,8.69,4249.13,0.5635,Medium
74.16,7.81,12.06,19980.62,0.7349,High
64.74,4.71,9.22,8889.75,0.5775,Medium
61.64,4.18,8.68,7120.18,0.5395,Low
73.79,12.32,14.78,49675.43,0.8606,Very High
72.79,10.36,14.74,24357.57,0.7983,High
45.73,3.5,5.77,1764.62,0.3623,Low
79.53,13.81,17.9,75652.91,0.9571,Very High
66.1,7.99,8.44,6972.5,0.6107,Medium
74.5,9.07,14.82,24490.72,0.7924,High
46.43,3.01,8.17,1091.23,0.3636,Low
52.33,1.14,7.12,2773.99,0.389,Low
70.75,3.73,8.76,6350.69,0.5647,Medium
60.38,3.91,8.68,5767.07,0.5208,Low
77.52,11.98,18.37,43660.78,0.9008,Very High
48.7,1.61,6.09,1243.85,0.3346,Low
65.43,3.47,11.97,5692.49,0.5762,Medium
69.58,10.24,12.73,14953.0,0.7373,High
68.38,5.39,11.13,8168.92,0.6232,Medium
80.17,12.93,16.5,58776.16,0.9256,Very High
71.28,10.09,12.9,26576.0,0.7732,High
65.4,4.83,12.61,10078.66,0.6291,Medium
71.79,11.12,10.96,18402.07,0.751,High
67.34,8.13,9.42,8718.24,0.6397,Medium
47.78,4.23,6.49,1909.32,0.3941,Low
78.73,13.9,13.88,59756.21,0.9048,Very High
65.66,4.69,9.01,2413.51,0.5159,Low
65.92,5.81,9.45,7039.84,0.5916,Medium
46.6,5.25,7.71,3420.26,0.4397,Low
59.59,3.72,11.64,3140.96,0.5216,Low
83.05,13.74,15.27,61485.42,0.9398,Very High
68.32,4.26,9.02,4416.06,0.5505,Medium
57.08,1.84,4.74,2642.13,0.379,Low
80.65,12.4,15.97,56230.47,0.9146,Very High
61.99,7.32,8.08,4405.94,0.5572,Medium
77.71,12.62,15.81,77005.51,0.9139,Very High
81.98,13.07,16.73,52994.97,0.9336,Very High
76.72,9.36,13.81,48628.5,0.8278,Very High
60.54,1.42,7.19,1214.88,0.3874,Low
81.13,11.32,17.19,68213.58,0.9253,Very High
64.6,6.71,12.42,7403.81,0.6331,Medium
74.57,9.81,12.08,19829.84,0.7631,High
50.78,3.03,7.69,1831.25,0.403,Low
68.68,6.29,11.77,26964.93,0.6978,Medium
79.17,11.17,16.21,42019.05,0.8808,Very High
81.86,11.62,17.04,50735.83,0.9169,Very High
78.09,14.18,15.83,34557.03,0.8963,Very High
86.67,11.49,15.64,55135.66,0.9203,Very High
68.45,7.82,13.9,24219.5,0.7367,High
62.83,5.48,9.25,2797.31,0.5264,Low
85.19,10.31,17.74,31030.65,0.8983,Very High
62.32,2.87,9.57,1746.97,0.4668,Low
74.12,6.46,14.64,10695.85,0.715,High
71.6,9.85,13.69,16732.02,0.7577,High
59.57,6.96,8.75,9785.82,0.585,Medium
65.19,7.4,8.08,3576.72,0.5615,Medium
48.31,2.89,7.51,1936.11,0.3902,Low
46.62,4.1,6.74,762.22,0.3439,Low
71.69,9.68,12.28,16025.64,0.7397,High
76.34,9.73,15.01,49907.61,0.8449,Very High
73.18,12.81,15.71,49524.68,0.8715,Very High
65.08,6.74,10.47,8986.46,0.6239,Medium
72.23,6.92,13.06,32708.08,0.7472,High
72.08,10.9,12.5,12360.63,0.7454,High
78.02,13.97,15.37,45847.97,0.9036,Very High
52.62,2.88,8.95,929.78,0.3877,Low
61.17,7.85,8.6,5138.75,0.5735,Medium
66.55,6.75,8.12,10738.99,0.6108,Medium
54.99,1.16,7.38,3059.48,0.4077,Low
78.16,11.39,16.06,55429.02,0.8901,Very High
58.56,3.66,8.94,4841.18,0.505,Low
68.98,8.41,11.97,9951.92,0.6846,Medium
81.26,11.65,17.59,64718.71,0.9314,Very High
69.99,5.39,10.69,3184.05,0.5765,Medium
81.5,14.12,16.64,70260.15,0.9562,Very High
79.58,11.39,15.7,51027.35,0.8897,Very High
53.83,3.99,4.97,1948.87,0.3986,Low
75.08,7.55,14.67,27385.27,0.7794,High
71.87,6.57,8.62,10040.52,0.634,Medium
80.88,14.52,13.76,50197.93,0.9134,Very High
68.37,7.98,12.78,27175.41,0.7315,High
50.64,4.25,4.07,636.58,0.3225,Low
63.72,5.06,11.96,4566.24,0.5794,Medium
68.1,9.63,11.3,30124.12,0.74,High
54.19,2.29,3.19,1467.06,0.3277,Low
72.75,8.61,12.74,22429.85,0.752,High
76.46,10.76,12.01,20547.06,0.785,High
63.77,3.61,11.06,6553.43,0.5667,Medium
75.61,11.79,11.31,22320.93,0.7906,High
46.63,2.33,7.46,910.9,0.3391,Low
76.52,9.46,12.49,15476.95,0.7598,High
69.05,8.49,15.42,24838.76,0.7647,High
51.15,3.48,8.37,3567.23,0.4484,Low
60.77,4.95,10.4,6930.51,0.567,Medium
60.33,6.75,9.58,4186.79,0.556,Medium
84.31,12.06,16.3,56216.14,0.9317,Very High
69.94,11.46,11.7,24995.5,0.768,High
74.59,10.5,17.12,44486.77,0.8612,Very High
86.94,10.78,17.62,32920.89,0.9059,Very High
61.79,6.43,10.15,6936.33,0.589,Medium
49.05,3.95,6.08,737.61,0.3435,Low
69.32,7.82,14.56,34050.62,0.7631,High
70.61,6.63,14.28,32990.21,0.7496,High
53.36,2.86,7.86,3207.26,0.4384,Low
61.56,5.25,9.76,1725.58,0.4969,Low
71.86,7.2,15.68,11638.27,0.729,High
45.76,4.24,6.24,2653.11,0.3953,Low
68.05,7.8,9.17,8434.51,0.6341,Medium
80.12,12.02,16.64,31489.97,0.8851,Very High
83.07,12.69,16.17,58959.02,0.9343,Very High
57.29,2.85,5.12,2344.2,0.4017,Low
62.3,5.19,10.71,9630.43,0.5956,Medium
51.01,1.58,9.34,1818.91,0.4026,Low
76.32,13.27,17.38,36728.48,0.8943,Very High
61.25,4.65,6.54,955.18,0.4176,Low
61.97,3.82,5.14,472.75,0.3446,Low
50.17,1.39,3.77,1008.03,0.2902,Low
69.75,7.38,12.99,17752.37,0.7136,High
84.43,12.99,17.57,56175.29,0.9558,Very High
58.45,3.02,4.89,1930.93,0.3969,Low
80.05,11.53,13.86,52956.81,0.8764,Very High
57.5,1.83,5.86,1919.63,0.3863,Low
81.36,12.46,14.24,33486.16,0.8761,Very High
66.69,8.38,10.05,7069.86,0.6366,Medium
68.74,7.7,13.11,16894.45,0.7119,High
82.63,12.29,14.87,44658.98,0.9007,Very High
62.2,6.48,11.04,8131.97,0.6087,Medium
53.2,2.64,8.21,2614.97,0.43,Low
76.88,11.3,15.29,27808.17,0.8416,Very High
82.63,13.19,16.25,43378.01,0.9235,Very High
66.31,5.12,10.44,4260.25,0.5708,Medium
67.01,7.64,9.54,9577.38,0.6374,Medium
81.06,14.24,15.83,52994.57,0.9337,Very High
50.61,3.82,5.39,1545.73,0.3779,Low
64.31,4.76,10.05,6299.46,0.5716,Medium
78.7,15.0,17.11,44109.98,0.9322,Very High
67.01,4.36,10.65,4669.8,0.5701,Medium
75.4,10.37,12.06,27037.2,0.7888,High
62.42,8.23,10.53,6575.82,0.6162,Medium
71.59,4.49,8.99,3577.76,0.5554,Medium
71.4,8.84,13.37,16808.68,0.7416,High
75.38,12.38,18.43,29422.43,0.8741,Very High
57.52,6.39,11.57,7308.13,0.5847,Medium
68.25,9.99,12.6,12023.88,0.7158,High
60.4,7.83,11.28,10086.81,0.6289,Medium
62.4,1.53,5.47,542.5,0.3234,Low
47.64,3.51,8.35,457.94,0.3243,Low
49.68,2.31,3.54,636.3,0.2819,Low
78.5,13.97,14.76,73453.7,0.9227,Very High
64.6,7.98,10.25,7922.69,0.6296,Medium
70.52,7.7,12.22,26781.4,0.7313,High
60.1,3.39,10.62,4982.8,0.5297,Low
59.98,7.5,11.51,7982.37,0.6143,Medium
61.53,5.66,9.75,9320.87,0.5859,Medium
60.8,6.75,10.03,6556.81,0.5846,Medium
67.65,9.8,13.39,17649.12,0.737,High
74.13,8.57,14.34,18903.15,0.7669,High
50.77,1.56,7.09,1882.76,0.3738,Low
76.86,10.27,14.87,41222.11,0.844,Very High
73.62,12.93,15.72,51858.7,0.8776,Very High
63.5,7.38,11.06,8060.5,0.6261,Medium
81.58,12.82,15.58,71302.39,0.9316,Very High
67.61,10.32,13.74,26430.92,0.7651,High
46.4,2.92,8.24,412.9,0.305,Low
80.19,12.3,15.98,57906.88,0.9125,Very High
63.74,6.88,9.53,6548.31,0.5945,Medium
77.68,14.61,15.13,45201.23,0.9059,Very High
59.28,1.41,7.39,789.73,0.3625,Low
59.16,8.24,11.24,10279.78,0.6278,Medium
77.4,11.17,16.32,40434.48,0.8712,Very High
58.93,2.27,7.76,2843.6,0.4453,Low
64.19,4.4,8.2,2918.83,0.5063,Low
49.79,2.75,7.34,1920.06,0.3924,Low
61.23,3.14,4.77,2906.78,0.4246,Low
76.41,8.43,14.99,28078.58,0.8017,Very High
72.14,10.35,14.33,48963.12,0.8231,Very High
70.59,10.0,13.43,16278.29,0.7506,High
86.4,13.5,16.45,29341.73,0.9199,Very High
63.18,6.63,13.28,6389.54,0.6267,Medium
45.99,3.72,8.87,2291.9,0.4122,Low
78.69,10.76,16.81,52284.17,0.8899,Very High
66.33,3.14,11.7,9215.82,0.5936,Medium
80.56,11.08,14.96,36859.72,0.8675,Very High
57.4,5.08,11.09,10519.48,0.578,Medium
69.08,7.53,11.84,30769.32,0.7236,High
82.49,11.74,16.53,36798.18,0.9003,Very High
63.72,6.31,8.93,8438.27,0.5911,Medium
60.62,5.77,8.49,3904.9,0.5291,Low
84.31,11.97,14.27,61555.7,0.9141,Very High
69.74,8.73,11.82,29401.8,0.741,High
81.7,11.55,13.72,53777.36,0.8839,Very High
57.1,3.68,11.76,5402.64,0.5367,Low
80.21,11.28,14.36,36815.77,0.862,Very High
71.39,6.67,8.19,10243.78,0.6288,Medium
55.78,2.16,4.46,578.63,0.3059,Low
70.06,7.22,13.63,25783.53,0.7368,High
69.74,7.45,11.29,10318.45,0.6702,Medium
77.22,10.87,15.56,45392.98,0.8647,Very High
51.59,1.55,5.33,1478.55,0.3407,Low
59.47,6.87,10.24,4711.33,0.5661,Medium
76.83,11.23,14.14,74176.37,0.8749,Very High
66.35,8.09,9.79,3482.93,0.5916,Medium
76.34,8.62,11.18,19525.61,0.7447,High
71.44,6.96,10.5,23232.35,0.6986,Medium
72.15,10.68,12.18,30422.83,0.7836,High
83.84,12.21,16.42,45286.37,0.9218,Very High
75.37,13.8,16.79,45724.46,0.9005,Very High
80.92,11.46,14.84,74420.57,0.9059,Very High
79.12,10.41,17.73,67047.38,0.9087,Very High
47.86,5.18,9.23,1929.49,0.4348,Low
46.96,1.74,3.25,1762.58,0.2987,Low
80.51,14.02,16.23,38740.52,0.9164,Very High
71.31,10.07,14.24,16034.44,0.7621,High
70.45,8.82,13.58,26782.27,0.7605,High
57.87,6.36,10.44,5374.68,0.5605,Medium
79.79,11.49,15.72,56222.34,0.8968,Very High
72.19,10.53,10.88,28886.0,0.7657,High
88.79,12.58,18.11,44413.71,0.946,Very High
64.8,8.43,10.27,4743.7,0.6105,Medium
66.42,7.81,8.77,3592.82,0.5795,Medium
75.29,10.49,13.12,20450.99,0.7874,High
57.99,5.07,8.01,5238.64,0.5152,Low
83.87,12.03,16.09,48273.83,0.9197,Very High
56.66,3.91,6.5,1978.06,0.4292,Low
68.79,8.62,12.07,13132.15,0.7009,High
71.22,9.68,12.31,27049.3,0.7622,High
83.31,15.0,17.21,30806.34,0.9377,Very High
49.13,3.36,6.93,2192.26,0.3993,Low
61.84,5.34,10.45,6429.54,0.5745,Medium
72.6,10.82,14.65,21904.32,0.7967,High
55.47,1.59,8.65,2612.3,0.4288,Low
53.23,2.69,7.45,2647.64,0.4218,Low
75.16,9.89,14.18,32163.54,0.8121,Very High
75.32,10.09,13.12,28428.58,0.7985,High
59.79,6.4,10.36,3196.94,0.5435,Low
81.54,11.0,16.83,37138.12,0.8905,Very High
72.68,7.75,13.77,33441.61,0.7697,High
76.48,12.96,13.89,65224.97,0.886,Very High
66.01,8.14,9.39,11168.26,0.645,Medium
60.25,6.88,8.71,5478.06,0.5609,Medium
73.6,8.09,14.44,25596.49,0.7738,High
71.94,8.31,14.42,14633.45,0.7417,High
75.52,10.75,14.5,30898.86,0.8257,Very High
74.82,14.13,14.96,37144.89,0.8742,Very High
74.88,10.77,13.69,23306.32,0.8011,Very High
73.24,8.32,12.71,28787.55,0.7616,High
49.08,0.98,8.11,2330.91,0.3801,Low
61.21,7.57,9.64,5024.94,0.58,Medium
63.28,4.84,9.28,10220.07,0.58,Medium
50.33,0.97,3.65,1662.33,0.2981,Low
73.55,7.92,12.86,15266.3,0.7299,High
55.31,2.99,6.81,2893.57,0.4305,Low
59.64,2.26,7.58,1729.42,0.4219,Low
83.35,12.38,14.13,58851.27,0.911,Very High
65.6,7.62,13.44,28288.88,0.7212,High
67.9,8.96,13.64,21028.7,0.7389,High
70.01,6.94,10.84,9235.46,0.6543,Medium
57.45,1.79,9.1,2845.03,0.4499,Low
70.93,6.33,11.17,3972.31,0.6102,Medium
52.15,2.99,4.4,3041.44,0.3841,Low
47.89,1.81,3.76,1768.93,0.3131,Low
46.55,1.3,9.82,784.88,0.3425,Low
58.64,2.78,5.05,2450.94,0.4061,Low
84.26,13.91,14.8,57621.33,0.9399,Very High
73.62,7.87,12.56,29216.59,0.7563,High
49.66,2.21,3.95,809.88,0.298,Low
62.44,4.33,9.1,5227.69,0.5371,Low
72.89,11.57,14.33,22755.85,0.8056,Very High
70.86,8.16,13.48,27650.16,0.7545,High
72.65,8.15,12.46,18855.77,0.7344,High
52.57,1.78,6.09,2588.39,0.3833,Low
72.84,8.85,13.67,28284.61,0.7762,High
80.99,11.94,15.73,49800.47,0.9026,Very High
74.47,7.98,12.32,9211.74,0.7035,High
68.64,10.29,13.96,16459.26,0.7499,High
62.23,4.94,11.59,2766.24,0.5412,Low
62.82,1.13,8.74,2905.06,0.4547,Low
70.88,9.19,14.64,23731.02,0.7725,High
73.85,9.38,13.08,17771.9,0.7596,High
83.1,12.43,15.7,68062.55,0.9335,Very High
59.44,2.62,4.62,3293.85,0.4103,Low
64.19,6.48,8.5,10385.95,0.5997,Medium
62.46,4.88,10.95,6480.72,0.5771,Medium
71.14,7.72,14.28,14097.4,0.7272,High
73.92,10.11,12.27,23003.56,0.773,High
48.55,0.75,7.72,1110.25,0.3369,Low
85.02,11.47,15.63,38973.19,0.9028,Very High
78.11,12.41,12.95,47213.11,0.8631,Very High
72.22,11.35,15.38,29131.27,0.8216,Very High
73.57,9.85,14.91,48347.41,0.8299,Very High
71.83,7.35,13.11,12753.85,0.7086,High
84.32,10.75,16.73,50785.35,0.9152,Very High
49.94,2.5,8.64,3019.58,0.4247,Low
83.6,12.05,15.84,62454.85,0.9286,Very High
66.77,7.2,10.97,3575.49,0.5961,Medium
71.6,8.09,13.37,32860.22,0.7637,High
68.85,10.19,12.21,25984.13,0.7539,High
46.02,4.33,5.59,2492.64,0.3878,Low
58.05,3.63,9.25,7567.66,0.5249,Low
68.64,9.73,11.82,22067.99,0.7358,High
59.59,7.6,11.51,4542.14,0.5859,Medium
80.61,15.0,15.4,60408.97,0.9423,Very High
58.83,4.47,6.6,1342.18,0.427,Low
59.77,5.97,11.84,5158.92,0.5773,Medium
74.89,7.71,14.39,20005.67,0.7628,High
71.37,8.18,12.46,9397.78,0.6949,Medium
64.2,4.37,9.21,6719.4,0.5578,Medium
72.4,8.35,13.09,19308.22,0.7438,High
78.27,10.99,16.04,37890.66,0.8675,Very High
73.37,11.53,14.58,49460.99,0.8468,Very High
64.11,7.06,11.93,7729.17,0.6322,Medium
53.33,4.22,7.32,650.71,0.3681,Low
73.27,10.45,11.65,22877.64,0.7674,High
62.66,7.24,8.76,7938.29,0.5946,Medium
61.89,6.37,8.99,6115.52,0.5698,Medium
68.44,11.51,13.56,13038.85,0.747,High
63.66,4.34,11.06,4721.26,0.5611,Medium
45.83,1.86,5.69,3296.64,0.3588,Low
79.49,14.46,15.28,65580.97,0.9333,Very High
70.78,8.02,12.32,26572.38,0.7378,High
59.77,4.49,5.72,3068.91,0.4605,Low
73.23,9.39,14.69,20415.84,0.7798,High
66.16,6.57,10.78,2611.7,0.5661,Medium
70.76,11.13,12.21,30269.7,0.7822,High
59.24,2.13,5.03,2244.8,0.391,Low
71.3,6.07,7.84,3573.91,0.5638,Medium
85.05,12.02,17.57,32728.25,0.9194,Very High
60.97,6.88,10.45,7911.67,0.6003,Medium
81.96,15.0,15.14,74454.53,0.9571,Very High
58.27,3.59,9.42,9045.17,0.5345,Low
62.11,2.92,7.9,906.64,0.4088,Low
58.43,5.72,5.35,1882.78,0.4463,Low
56.94,0.99,6.58,2310.52,0.3876,Low
56.47,1.9,6.72,875.33,0.3582,Low
51.64,1.62,6.11,3247.84,0.3855,Low
64.32,3.86,10.52,7353.67,0.5712,Medium
68.97,9.85,14.85,25226.55,0.7754,High
63.76,2.7,6.95,836.4,0.394,Low
67.22,6.51,7.73,2399.64,0.532,Low
70.0,8.81,12.25,13989.88,0.714,High
61.43,3.1,7.23,2025.12,0.4449,Low
42.64,2.93,8.34,3140.35,0.3909,Low
68.94,10.25,14.21,24135.16,0.7716,High
64.46,3.91,12.47,6184.86,0.5879,Medium
48.49,3.53,8.88,1092.3,0.3863,Low
81.27,11.95,15.24,40433.25,0.8888,Very High
48.07,4.89,5.17,2743.24,0.4046,Low
61.38,4.34,3.98,1100.56,0.389,Low
75.12,12.0,16.06,54641.05,0.8807,Very High
57.77,1.27,7.8,1937.16,0.4069,Low
62.05,7.27,9.8,3406.79,0.5619,Medium
73.55,10.0,12.89,14254.63,0.7529,High
53.82,2.5,7.84,3005.28,0.4319,Low
72.68,8.95,11.81,15399.78,0.7283,High
80.68,9.86,15.9,42104.95,0.869,Very High
81.17,15.0,15.2,42227.74,0.9255,Very High
80.07,14.34,14.72,70469.87,0.9329,Very High
83.98,10.55,15.65,34655.63,0.881,Very High
67.32,5.64,12.67,7553.25,0.6355,Medium
59.33,4.26,12.11,5768.94,0.5618,Medium
77.52,8.82,14.28,15827.14,0.7762,High
60.6,2.06,7.27,1908.61,0.4223,Low
63.71,3.82,11.12,8054.22,0.5794,Medium
69.77,8.2,12.37,17677.93,0.7174,High
77.31,10.56,14.98,28379.5,0.8329,Very High
67.57,5.2,9.25,5573.82,0.5762,Medium
58.96,1.64,7.94,862.95,0.3774,Low
55.81,2.19,8.25,1373.3,0.4039,Low
77.09,10.5,15.51,34011.22,0.8453,Very High
59.78,7.14,11.37,6393.89,0.5971,Medium
71.96,9.81,12.08,26226.47,0.7638,High
62.7,4.87,9.5,3987.32,0.5381,Low
79.28,12.88,16.14,34747.33,0.8911,Very High
78.69,11.43,16.82,40520.25,0.8856,Very High
75.71,14.52,17.02,63248.17,0.9279,Very High
68.76,9.5,11.09,9813.35,0.6872,Medium
46.78,2.84,5.46,1984.23,0.3577,Low
